element,Z,atomic_radius_pm,electronegativity_pauling,VEC,melting_K,density_g_cm3
Nb,41,146,1.6,5,2750,8.57
Si,14,111,1.9,4,1687,2.33
Ti,22,147,1.54,4,1941,4.51
Cr,24,128,1.66,6,2180,7.19
Al,13,143,1.61,3,933,2.70
Hf,72,159,1.3,4,2506,13.31
Y,39,180,1.22,3,1799,4.47
B,5,87,2.04,3,2349,2.34
Mo,42,139,2.16,6,2896,10.22
W,74,139,2.36,6,3695,19.25
Zr,40,160,1.33,4,2128,6.51
Fe,26,126,1.83,8,1811,7.87
Re,75,137,1.9,7,3459,21.02
Sn,50,140,1.96,4,505,7.27
Mg,12,160,1.31,2,923,1.74
Ga,31,135,1.81,3,303,5.91
Ta,73,146,1.5,5,3290,16.65
Sc,21,162,1.36,3,1814,2.99
V,23,134,1.63,5,2183,6.11
Co,27,125,1.88,9,1768,8.90
Mn,25,127,1.55,7,1519,7.21
C,6,67,2.55,4,3823,2.27
Ge,32,122,2.01,4,1211,5.32
Ni,28,124,1.91,10,1728,8.91
Cu,29,128,1.9,11,1358,8.96
Pd,46,137,2.2,10,1828,12.02
Pt,78,139,2.28,10,2041,21.45
Ru,44,134,2.2,8,2607,12.37
Rh,45,134,2.28,9,2237,12.41
Ir,77,136,2.2,9,2719,22.56
