Si,Ti,Cr,Al,Hf,Mo,W,Zr,B,Fe,Ga,Mg,Re,Vickers_hardness_(Hv),Compressive_strength_σ_max_(Mpa)
10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,505.000 ,1370.000 
10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,467.000 ,1300.000 
10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1310.000 
10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,512.000 ,1450.000 
4.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,478.000 ,830.000 
4.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,375.000 ,1190.000 
4.000 ,20.000 ,14.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,517.000 ,1260.000 
16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,553.000 ,2089.000 
16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.500 ,582.000 ,2209.000 
16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,595.000 ,2265.000 
16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.500 ,614.000 ,2273.000 
16.000 ,20.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,625.000 ,2362.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,750.700 ,2320.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,757.600 ,2359.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,723.200 ,2015.000 
